molecule_chembl_id,canonical_smiles,Activity Class
CHEMBL218650,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
CHEMBL64,NNC(=O)c1ccncc1,1
CHEMBL218650,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,1
CHEMBL551152,C[C@H](NC(=O)OC(C)(C)C)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,1
CHEMBL554921,CCC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL559572,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL541190,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL554334,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL561704,CC(C)(C)OC(=O)N[C@@H](CCCNC(=N)N)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL562407,CCC(C)[C@H](N)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL563591,N[C@@H](Cc1ccc(O)cc1)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL561500,NCCCC[C@H](N)C(=O)NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,1
CHEMBL565223,COC(=O)[C@H](C)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,1
CHEMBL554145,COC(=O)[C@H](Cc1ccc(OCc2ccccc2)cc1)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL564125,COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL559953,COC(=O)[C@H](Cc1c[nH]cn1)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL540238,COC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,1
CHEMBL558427,COC(=O)[C@H](CCCNC(=N)N)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
CHEMBL562289,NNC(=O)CNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0
